,Unnamed: 0,id,beam_id,observation_id,tuning,subband_offset,file_uri,file_local_enumeration,signal_frequency,signal_index,signal_drift_steps,signal_drift_rate,signal_snr,signal_coarse_channel,signal_beam,signal_num_timesteps,signal_power,signal_incoherent_power,source_name,fch1_mhz,foff_mhz,tstart,tsamp,ra_hours,dec_degrees,telescope_id,num_timesteps,num_channels,coarse_channel,start_channel,tstart_h
12845,19429951,959261299,482111,17926,AC,640,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C640.0028.raw.seticore.hits,230,24374.1219209671,116350,-5,-2.5985562907797948,15.07353973388672,0,0,8,479019696128.0,483651452928.0,3073619025268414208,24374.12183513641,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,84,0,116305,2023-12-17 11:23:48.372431
12891,19429997,959261345,482111,17926,AC,640,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C640.0028.raw.seticore.hits,276,24374.151824378965,132028,2,1.039422516311918,17.800922393798828,0,0,8,549339660288.0,567776903168.0,3073619025268414208,24374.15174808502,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,81,0,131988,2023-12-17 11:23:48.372431
12892,19429998,959261346,482111,17926,AC,640,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C640.0028.raw.seticore.hits,277,24374.04965343475,78461,3,1.559133774467877,31.47552490234375,0,0,8,901911085056.0,803262103552.0,3073619025268414208,24374.04957714081,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,82,0,78421,2023-12-17 11:23:48.372431
12895,19430001,959261349,482111,17926,AC,640,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C640.0028.raw.seticore.hits,280,24374.80544605255,474714,5,2.5985562907797948,24.797168731689453,0,0,8,729723437056.0,680671969280.0,3073619025268414208,24374.805369758604,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,84,0,474674,2023-12-17 11:23:48.372431
12981,19430087,959261435,482112,17926,AC,640,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C640.0028.raw.seticore.hits,366,24374.04965343475,78461,3,1.559133774467877,35.51524353027344,0,1,8,803262103552.0,803262103552.0,Incoherent,24374.04957714081,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,82,0,78421,2023-12-17 11:23:48.372431
12982,19430088,959261436,482112,17926,AC,640,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C640.0028.raw.seticore.hits,367,24374.151824378965,132028,3,1.559133774467877,23.69479179382324,0,1,8,568852611072.0,568852611072.0,Incoherent,24374.15174808502,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,82,0,131988,2023-12-17 11:23:48.372431
12983,19430089,959261437,482112,17926,AC,640,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C640.0028.raw.seticore.hits,368,24374.80544605255,474714,4,2.078845032623836,29.3514404296875,0,1,8,681028681728.0,681028681728.0,Incoherent,24374.805369758604,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,83,0,474674,2023-12-17 11:23:48.372431
15797,19432903,959264251,482111,17926,AC,416,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C416.0028.raw.seticore.hits,147,24150.277394676206,197863,-4,-2.078845032623836,15.703868865966797,0,0,8,661697396736.0,472547917824.0,3073619025268414208,24150.277310752863,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,83,0,197819,2023-12-17 11:23:48.372431
15823,19432929,959264277,482111,17926,AC,416,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C416.0028.raw.seticore.hits,161,24150.32137432098,220921,3,1.559133774467877,20.422033309936523,0,0,8,824242470912.0,753844879360.0,3073619025268414208,24150.32129802704,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,82,0,220881,2023-12-17 11:23:48.372431
15880,19432986,959264334,482112,17926,AC,416,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C416.0028.raw.seticore.hits,191,24150.277392768858,197862,-3,-1.559133774467877,16.25275421142578,0,1,8,563328581632.0,563328581632.0,Incoherent,24150.277310752863,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,82,0,197819,2023-12-17 11:23:48.372431
