,id,signal_frequency,signal_drift_rate,signal_snr,signal_beam,signal_power,signal_incoherent_power,signal_num_timesteps,tstart,tstart_h,ra_hours,dec_degrees,source_name,tuning,file_uri,file_local_enumeration
191,987212429,33262.24021772613,-0.48506384094556176,21.43613624572754,0,1955308765184.0,1878274736128.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C704.0000.raw.seticore.hits,61
299,987212639,33066.9764542984,-35.89472422997157,10.103474617004395,0,738318090240.0,425977577472.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C512.0000.raw.seticore.hits,185
301,987212641,33069.43605093231,-0.24253192047278088,13.811441421508789,0,918597140480.0,996729749504.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C512.0000.raw.seticore.hits,187
347,987212724,31975.074091474915,0.9701276818911235,29.637149810791016,0,1657384468480.0,1647695495168.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,BD,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.BD.C576.0000.raw.seticore.hits,0
348,987212725,31975.070433180237,0.9701276818911235,11.910161972045898,0,786840748032.0,670809391104.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,BD,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.BD.C576.0000.raw.seticore.hits,1
451,987212922,32263.070143263245,0.48506384094556176,489.7939758300781,0,19262349508608.0,19344270557184.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,BD,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.BD.C288.0000.raw.seticore.hits,0
683,987213338,32071.07277540436,0.7275957614183426,32.51765060424805,0,2068455620608.0,2326536388608.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,BD,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.BD.C480.0000.raw.seticore.hits,0
704,987213365,32039.604017774964,0.24253192047278088,25.031644821166992,0,1492076855296.0,1596864856064.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,BD,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.BD.C480.0000.raw.seticore.hits,27
877,987213664,33166.2421460556,-0.24253192047278088,30.871381759643555,0,2094469742592.0,2158190526464.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C608.0000.raw.seticore.hits,107
982,987213860,31943.070669691468,0.7275957614183426,26.126964569091797,0,1585450844160.0,1690228621312.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,BD,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.BD.C608.0000.raw.seticore.hits,1
